,dataset,k,fold_number,method,accuracy,precision,recall
0,segmentation,3,1,KNN,0.2857142863945578,0.2857142867346939,0.1666666675925926
1,segmentation,3,2,KNN,0.5952380950869237,0.5952380947845805,0.22727272776859508
2,segmentation,3,3,KNN,0.14285714353741497,0.1428571445578231,0.040000000613333336
3,segmentation,3,4,KNN,0.523809523771731,0.5238095236961451,0.1803278693765117
4,segmentation,3,5,KNN,0.285714286122449,0.2857142867346939,0.09090909152892564
5,segmentation,5,1,KNN,0.2857142863945578,0.2857142867346939,0.1666666675925926
6,segmentation,5,2,KNN,0.428571428707483,0.42857142891156463,0.15789473744228996
7,segmentation,5,3,KNN,0.11904761977324264,0.119047620861678,0.03267973917296767
8,segmentation,5,4,KNN,0.5476190475434618,0.5476190473922903,0.19491525475438096
9,segmentation,5,5,KNN,0.285714286122449,0.2857142867346939,0.09090909152892564
10,segmentation,13,1,KNN,0.2857142862244898,0.2857142867346939,0.11764705957324108
11,segmentation,13,2,KNN,0.40476190494331066,0.4047619052154195,0.14529914590547158
12,segmentation,13,3,KNN,0.11904761965230537,0.119047620861678,0.02631578997229917
13,segmentation,13,4,KNN,0.38095238114134544,0.3809523815192744,0.10958904163069996
14,segmentation,13,5,KNN,0.285714286122449,0.2857142867346939,0.09090909152892564
